Gene_A,Gene_B
AK7,AK7
AK8,AK8
AK9,AK9
ALDH3A1,ALDH3A1
ANKRD45,ANKRD45
ARMC2,ARMC2
ARMC3,ARMC3
BARX2,BARX2
C1orf87,C1orf87
C20orf85,C20orf85
C2orf50,C2orf50
C4orf47,C4orf47
C5orf49,C5orf49
C7orf57,C7orf57
C9orf24,C9orf24
CABCOCO1,CABCOCO1
CAPSL,CAPSL
CATIP,CATIP
CCDC170,CCDC170
CCDC181,CCDC181
CCDC40,CCDC40
CCDC96,CCDC96
CCNA1,CCNA1
CD164L2,CD164L2
CDHR3,CDHR3
CDHR4,CDHR4
CFAP100,CFAP100
CFAP157,CFAP157
CFAP161,CFAP161
CFAP251,CFAP251
CFAP276,CFAP276
CFAP298,CFAP298
CFAP300,CFAP300
CFAP45,CFAP45
CFAP52,CFAP52
CFAP54,CFAP54
CFAP57,CFAP57
CFAP70,CFAP70
CFAP73,CFAP73
CFAP74,CFAP74
CIBAR2,CIBAR2
CLDN16,CLDN16
CLDN8,CLDN8
CLIC6,CLIC6
CLXN,CLXN
CNTN5,CNTN5
CROCC2,CROCC2
DLEC1,DLEC1
DNAAF1,DNAAF1
DNAAF6,DNAAF6
DNAAF8,DNAAF8
DNAH10,DNAH10
DNAH12,DNAH12
DNAH2,DNAH2
DNAH6,DNAH6
DNAH7,DNAH7
DNAI1,DNAI1
DNAI3,DNAI3
DNAI7,DNAI7
DPCD,DPCD
DYDC1,DYDC1
DYDC2,DYDC2
DYNLT4,DYNLT4
ELAPOR1,ELAPOR1
ELL3,ELL3
ENKUR,ENKUR
ENO4,ENO4
ERICH5,ERICH5
ERN2,ERN2
FAM221B,FAM221B
GAS2L2,GAS2L2
HNF1A,HNF1A
HNF4A,HNF4A
HYDIN,HYDIN
IFT81,IFT81
KIAA2012,KIAA2012
KIF6,KIF6
KRT17,KRT17
LCA5,LCA5
LDLRAD1,LDLRAD1
LRRC23,LRRC23
LRRC26,LRRC26
LRRC46,LRRC46
LRRC73,LRRC73
MAP6,MAP6
MARCHF10,MARCHF10
MS4A8,MS4A8
MUC16,MUC16
MUC4,MUC4
MYCBPAP,MYCBPAP
MYLK3,MYLK3
NEK11,NEK11
NEK5,NEK5
NME5,NME5
NME9,NME9
NOXRED1,NOXRED1
ODAD3,ODAD3
ODAD4,ODAD4
PACRG,PACRG
PAX9,PAX9
PFN2,PFN2
PIP,PIP
PPP1R32,PPP1R32
PPP1R36,PPP1R36
PROM1,PROM1
RFX3,RFX3
RIIAD1,RIIAD1
RSPH4A,RSPH4A
RSPH9,RSPH9
SAMD15,SAMD15
SAXO2,SAXO2
SCGB2A1,SCGB2A1
SIX1,SIX1
SLC23A1,SLC23A1
SLC27A2,SLC27A2
SLC5A5,SLC5A5
SLC9C2,SLC9C2
SNTN,SNTN
SOX2,SOX2
SPACA9,SPACA9
SPAG17,SPAG17
SPAG6,SPAG6
SPAG8,SPAG8
SPATA4,SPATA4
SPEF1,SPEF1
SPEF2,SPEF2
ST6GALNAC1,ST6GALNAC1
STOML3,STOML3
TCTN2,TCTN2
TEKT4,TEKT4
TMCO5A,TMCO5A
TMEM231,TMEM231
TNNI3,TNNI3
TP73,TP73
TPPP3,TPPP3
TTC23L,TTC23L
TTC26,TTC26
TTLL6,TTLL6
CACNA1C,CACNA1C
CFAP126,CFAP126
CKAP2,CKAP2
CTNNB1,CTNNB1
EFCAB7,EFCAB7
FZD8,FZD8
GPRC5C,GPRC5C
GSTM3,GSTM3
HTR7,HTR7
LZTFL1,LZTFL1
NEK2,NEK2
ODF2,ODF2
PCM1,PCM1
RFX2,RFX2
S100B,S100B
SPAG1,SPAG1
STING1,STING1
SUGCT,SUGCT
TPD52,TPD52
TTC21B,TTC21B
TUBB4B,TUBB4B
HYLS1,HYLS1
AMN1,AMN1
C12orf56,C12orf56
C19orf18,C19orf18
CDKN2A,CDKN2A
DNAH17,DNAH17
FRYL,FRYL
INSL6,INSL6
LETM2,LETM2
MROH7,MROH7
POU4F1,POU4F1
REEP1,REEP1
SCML1,SCML1
SPOCD1,SPOCD1
TUT4,TUT4
ZNF875,ZNF875
