train_size,mean_auc,std_auc,mean_auprc,std_auprc
784,0.90156784382834,0.0032510265628042604,0.9167371201598845,0.0025724952143561714
1568,0.9078318535740963,0.0016469163607344972,0.9215119905072312,0.0012204798009841397
2352,0.9106931935927257,0.0007480447816188527,0.9235475977033966,0.00048247944852911973
3136,0.9118407602546735,0.0005313293817737389,0.92436671156552,0.0005492586459070843
3920,0.912924166210001,0.00033452156995292373,0.9251080817660169,0.00034588740721580347
4704,0.9135401913415174,0.0002613616985130174,0.9255307573241289,0.0002194564235681863
5490,0.9139822917572655,0.0004304691794686176,0.9258346730053738,0.0002878438796010181
6274,0.9143718974275048,0.00023883615909682981,0.9260743075312009,0.00022731843003865622
7058,0.9147550129970972,0.00026142223641901813,0.9263178814405911,0.00021214929509725955
7842,0.9149772090061428,0.0002403130351574037,0.9264792069319311,0.00020326084361392034
8626,0.9152241114829188,0.00024370265811171583,0.9266642358179153,0.00018454838800165143
9410,0.9154170095015717,0.00024596372642697985,0.9267735364452406,0.00016183298427930757
10196,0.9155775360377604,0.0003000750530560241,0.9268767194852181,0.00014816944377549234
10980,0.9157258268314923,0.00032188898434736284,0.9269731181336693,0.00014235332361601193
11764,0.9158079793198486,0.0002993390860344126,0.9270139926882898,0.00011613744359194873
12548,0.9159294072106141,0.00024116476331370723,0.9270754732944892,9.543435360174967e-05
13332,0.9160323276051419,0.0002059805036084837,0.9271202652007202,0.00010093190432516448
14116,0.9161056942315202,0.00019299295075044434,0.9271693775951599,8.830278444346773e-05
14902,0.9161666795508646,0.00018656327043078662,0.927200923767943,0.00010232872884463264
15686,0.9162260283084633,0.00018498538301596677,0.9272361680698469,7.422625072636884e-05
16470,0.9162956227327992,0.0001636507705453304,0.9272909994170739,6.583972212548543e-05
17254,0.9163351476744837,0.0001947767242196198,0.927315791623505,7.745337619302357e-05
18038,0.9163732065729269,0.00019620966353654462,0.9273301722975124,7.980139795422292e-05
18822,0.9164153288025665,0.0001720081069031794,0.9273466412318682,8.820662865725433e-05
19608,0.9164657274181642,0.00015092571385741615,0.927365201751693,6.705003532198885e-05
20392,0.9164904900322316,0.00013363966590593335,0.9273732356606643,6.140747505108003e-05
21176,0.9165253756228928,0.00012239273598546393,0.9273878647604556,5.6573104943166396e-05
21960,0.9165718335974378,0.00013181204547630892,0.927411451048932,4.5710664603957325e-05
22744,0.9165926930013434,0.0001319260030881571,0.927428735722704,4.92604358385777e-05
23528,0.9166046188992001,0.00012079234212382834,0.9274471904300942,4.1733641374751095e-05
24312,0.9166539611318664,0.00011744904316914073,0.9274788491477333,3.714772473975847e-05
25098,0.916683419243294,0.00013049765492790787,0.9274891259251691,3.08869470120622e-05
25882,0.9167209998581265,0.00012522831314440823,0.927509476317175,3.319714733361781e-05
26666,0.9167450013774048,0.00013964440350004562,0.9275139681403453,3.960186402986518e-05
27450,0.9167656549114087,0.00011994331556967074,0.9275251349841099,3.0436487174641426e-05
28234,0.9168004469248417,0.00010436061033124726,0.9275399781440623,1.6345404892438676e-05
29018,0.9168253010366433,7.96102511450534e-05,0.927554151977597,2.365707374409545e-05
29804,0.9168284140391003,7.183919676443835e-05,0.9275573047383908,2.133349099740581e-05
30588,0.9168487410925528,7.72321797258229e-05,0.9275712064910715,1.8367700101958535e-05
31372,0.9168725554573746,7.851636125681266e-05,0.9275827694016497,1.832230449256756e-05
32156,0.9168830277889537,7.860258600054994e-05,0.9275929546640693,1.730195209102205e-05
32940,0.9168979668735572,7.752594241564353e-05,0.9276029216378682,2.448432942833072e-05
33724,0.9169033548424059,7.921835188398265e-05,0.927604816400339,2.027831364374665e-05
34510,0.9169183979017074,7.176986142708661e-05,0.9276060509092507,1.7922268621646867e-05
35294,0.9169222761579414,6.263893132407377e-05,0.9276184963512695,2.759651030442145e-05
36078,0.9169351731794771,4.89417619270598e-05,0.9276296329225016,2.322118400097269e-05
36862,0.9169490912325466,4.196040434151189e-05,0.9276339615202328,1.819604254619631e-05
37646,0.9169542816494692,3.7198998265903675e-05,0.9276310609277807,1.4136192402858008e-05
38430,0.9169667398977793,3.5348390721340205e-05,0.9276336907123188,1.7728324207166122e-05
39216,0.9169689982282192,4.22433717781417e-05,0.9276397176762398,1.671263954118449e-05
40000,0.9169672868046905,4.208792753169775e-05,0.927637558976507,1.3049331662289632e-05
40784,0.9169772933296227,3.546760744250072e-05,0.92764321288978,1.3049370923575476e-05
41568,0.9169805477376691,4.6250259501538475e-05,0.9276515082299067,1.7164230555109977e-05
42352,0.9169849167544776,4.671916335674001e-05,0.927658594830084,2.4266906975888295e-05
43136,0.9170012886104193,4.054598185728608e-05,0.9276641309259448,2.3399669016759134e-05
43920,0.9169982920596237,3.676510716546236e-05,0.9276613105432687,2.4298144158063413e-05
44706,0.9170073170634072,3.698080440957411e-05,0.9276671632594884,2.5517686075091334e-05
45490,0.9170118316447929,3.730051828265511e-05,0.9276729145779733,2.243260749667813e-05
46274,0.91702373674771,4.0222098535392955e-05,0.9276750796711346,2.3529285844585487e-05
47058,0.9170234165056401,4.547357416283172e-05,0.9276778396166652,2.3887157300016918e-05
47842,0.9170312416414091,4.104999535251845e-05,0.927677785958074,2.1473004725282742e-05
48626,0.9170404122097697,4.173096882948382e-05,0.9276761118486989,2.1155126690793778e-05
49412,0.9170455319238974,4.324917588587455e-05,0.9276804751192598,2.3842085058595123e-05
50196,0.9170480044422151,4.780241125221727e-05,0.9276760372831913,2.6499191199563115e-05
50980,0.9170565865137851,4.547063830494223e-05,0.9276781959792102,1.9139040604261328e-05
51764,0.9170485700645721,4.4555485740191074e-05,0.927680375221583,1.2441635843133684e-05
52548,0.9170547648770766,4.480736711560886e-05,0.927681193241208,1.5059916412314355e-05
53332,0.9170625026740993,4.844765066168386e-05,0.9276880969527614,1.5045149924369564e-05
54118,0.9170648358663216,5.3058748075135684e-05,0.9276914681454876,1.7682501434472497e-05
54902,0.9170684167549196,5.4846007800391134e-05,0.9276921519443733,2.0405369909861296e-05
55686,0.9170692714269366,5.1769201963402415e-05,0.9276975663791994,2.1204329359485417e-05
56470,0.9170775394949191,4.0327043290294095e-05,0.9277024118697801,2.4370243426194304e-05
57254,0.9170828879533823,3.806306140743989e-05,0.9277069484476593,2.381275507131601e-05
58038,0.9170887583648295,3.313737952770073e-05,0.9277040222193085,2.0947201172927818e-05
58824,0.9170937262758982,3.0154371131822983e-05,0.9277102006423675,1.738846639843861e-05
59608,0.9170928487294475,3.0930357499756324e-05,0.9277142695833834,1.5879241934204324e-05
60392,0.917102884367295,2.914269147912914e-05,0.9277186760107853,1.5670389443734183e-05
61176,0.9171025162968641,2.777232390142028e-05,0.9277210429942224,1.7172964643889115e-05
61960,0.9171099255338412,2.156974393006566e-05,0.9277230706707773,1.5850155656324404e-05
62744,0.9171096156892414,2.0257498392162392e-05,0.9277283710242971,1.8333311881861146e-05
63528,0.917110139721719,2.4035472342125068e-05,0.9277316641171289,1.5205366673365888e-05
64314,0.9171132776781036,1.7949722326246383e-05,0.9277319237107647,1.6545880661475505e-05
65098,0.9171137871541237,1.821221308185811e-05,0.9277376395824707,1.4923513537135646e-05
65882,0.9171206286892497,2.087136259521907e-05,0.9277403826124561,1.6782878772327126e-05
66666,0.9171213731480872,2.2435614936111473e-05,0.9277425619995865,1.7613003912312557e-05
67450,0.9171210071571505,2.0066577324617594e-05,0.9277402118740294,1.7838735508305198e-05
68234,0.9171285120508494,2.1810167058419435e-05,0.9277433546582937,2.1363190845577838e-05
69020,0.9171303628004732,2.047260757381492e-05,0.9277498239671237,2.064760566283164e-05
69804,0.9171310178410703,2.073869911261685e-05,0.9277503787167236,1.6861471165463738e-05
70588,0.9171344760395247,1.6332171867143793e-05,0.9277535993997115,1.704067981334644e-05
71372,0.9171368487421324,1.8776262821707144e-05,0.9277566337698822,1.3008629179656615e-05
72156,0.9171338501118429,1.9077741575733333e-05,0.9277580740915885,9.539714685664232e-06
72940,0.9171383626137347,1.8798105511433668e-05,0.9277609631842175,1.1026777568483179e-05
73726,0.9171385331322393,2.0707053923006258e-05,0.9277642938686619,1.1217008879270872e-05
74510,0.917142638053315,1.7223078274222954e-05,0.9277658382894151,9.87217712509898e-06
75294,0.9171422616649083,1.1572007401179515e-05,0.9277690499286576,8.527681718107351e-06
76078,0.9171525613984887,1.2702468636778138e-05,0.9277682608732241,8.639015300488688e-06
76862,0.9171526736911625,1.0353745084213464e-05,0.9277700507894815,6.780807790374175e-06
77646,0.9171550900631432,4.677851127381365e-06,0.9277711850773812,3.5722865216046593e-06
78432,0.9171560029609914,9.526170679558045e-07,0.9277717422169994,5.421678230426048e-07
